;rating;comment
140;10;"From a relationship of more than 20 years I can say with certainty that if
 This is a company I am proud to be a partner of!!!!"
141;10;Customer service and relationship.
142;8;Service, quality, punctuality
143;10;Because BASF products have good quality and brand recognition in the market.
144;9;Well structured and organized company, with good employees and great management.
145;8;Quality support service support partnership
146;10;Confidence in product quality and good service.
147;9;Reliable company with good service.
148;9;Company with competitive price, good service but with many perks, however we like it very much.
149;10;Quality in products
150;8;Quality
151;10;A product with quality, I can recommend without fear of complaint, coverage, result, satisfaction, all that I find in BASF products.
152;10;Always very well attended and I am valued in my searches with products suited to my needs.
153;9;Serious company, cutting edge technology and qualified professionals.
154;10;very pleased to work with a strong brand like basf
155;8;"They are very helpful, available, meet goals and collaborate a lot with ideas and suggestions for improvements.
 To receive a ten, it would need to better adjust its costs, which are currently very high."
156;9;Excellent business opportunities.
157;9;good products, customer commitment and good management skills
158;10;leading company in innovation and technology at a global level
159;8;The products are of extremely high quality.
160;9;-Almost perfect but there are still points to improve in the process of logistics and preparation of products.
161;9;"BASF products are top

 I have been using them for over 20 years with excellent results."
162;8;For having within its portfolio reliable and high quality products as well as the human quality of its workers
163;9;Because it has an extensive product line
164;8;good quality products
165;10;Brand Products, Technical Support, Timely Service
166;10;The relationship improved a lot after the change of the person who attends us and that this person attends exclusively to DISAGRO, the new person who attends us is a person who gives a lot of follow-up, is proactive and has clear objectives.
167;9;Quality of customer service...
168;10;product technology
169;10;Very good products. Excellent sales and POST sales support
170;10;The products fulfill their objective in the foreseen time. The cost benefit of the product is acceptable.
171;9;The service is good and the effectiveness of the products has been as desired
172;9;Products of maximum QUALITY with a SPECIAL accompaniment with distributors and END USERS.
173;9;Products of excellent quality and good technical and commercial service
174;10;They have great molecules great customer service and do long term business
175;9;high quality and effective products
176;10;Product quality, business support, quality of its support and sales team
177;8;Good products, support, technical advice, good customer loyalty system.
178;8;"The quality of BASF products is very high.
 they have managed to maintain supplies in these times despite the current logistical problems."
179;10;Basf is a company with high quality products, they have a trained technical staff.
180;9;Because they have a high-quality portfolio and good technical staff for support and monitoring in the field.
181;8;Good customer service
182;8;good product quality
183;9;I would recommend it because it is punctual, safe, and its products satisfy the needs.
184;8;Reliable supplier, good quality of products
185;8;Product quality, delivery compliance, competitive products
186;10;For the quality of its products and the attention of its technicians.
187;9;They have withheld dispatch on several occasions when FANTASIA has good payment behavior.
188;9;For being a strategic ally at a global level
189;8;Excellent service from business advisors in the export area
190;9;100% recommended, good attention and they respond in a timely manner.
191;9;They are good products, we would like to have better offers in terms of prices, currently we buy little from them.
192;10;This score is related to an improvement in the quality of care provided to us, after the previous survey. This improvement is reflected through an approach from the technical representative to our company to jointly develop business plans to improve our market.
193;9;Product availability has been quite limited, which prevents growth in purchases and relationships.
194;8;They are recommended, but they must improve the attention and response to their customers
195;9;Good quality and support.
196;8;Excellent quality, reliability, safety, technical information. Currently only problems with logistics, which we understand, but they also affect the business.
197;8;Quality of materials and technical assistance / long delays in deliveries and very high volatility in prices
198;10;We know about the complicated situation of freight, but we have had delays in the deliveries of recent orders, this situation has not complicated our productions,
199;9;meets my needs
200;8;a great team of professionals
201;10;YOUR PRODUCTS ARE VERY RELIABLE
202;10;good products
203;9;In these difficult times that the entire industry is going through worldwide, the commitments and delivery prices are not as expected, directly affecting the relationships between the client supplier.
204;8;Good quality products, timely deliveries, excellent attention from the Commercial Advisor
205;8;BASF products have excellent quality
206;8;Mainly due to the quality of its products and the excellent attention of its sales representative, who gives us all his technical help to improve our processes.
207;9;for being a reliable company and having many years of operations in Peru, that gives it a lot of hierarchy for any person who wants to invest.
208;9;Ease and cordiality in the relationship
209;9;FOR THE QUALITY OF THE PRODUCTS AND COMMERCIAL ADVICE
210;9;Good quality of products and commercial attention
211;10;excellent customer service, good response times to requirements, good post-sale management.
212;8;Good service, good products.
213;10;For the knowledge of the company, the relationships and the quality of the products
214;8;We have been working for more than 20 years and we always had excellent attention, both in Argentina and with people from abroad.
215;10;Good service, quality products, compliance.
216;9;Very good service from Inés, always willing to help and get things done.
217;9;Good products, quality and service
218;8;"EXCELLENCE IN PRODUCTS
 GOOD STOCK MANAGEMENT
 OPENING TO HEAR POINTS"
219;9;FOR ITS PRODUCTS AND SERVICE
220;8;Lack of agility in offices.
221;8;Lack of compliance in the last time of deliveries as scheduled
222;8;excellent products and very professional commercial and technical people
223;10;Their products are excellent and the company works with great responsibility
224;10;I have had no problems.
225;8;Product quality, attention to needs
226;9;Very serious company that works responsibly and quickly with its clients. They provide a lot of support to ensure the success of the business.
227;9;We feel very good working with BASF, excellent team and management! The products are of very high quality.
228;8;Commercial and technical support that they provide day to day
229;8;Excellent service
230;8;It is an excellent company, in terms of quality, but delivery times are not met and the price is high.
231;10;the speed of response and the quality of its materials
232;8;An excellent supplier with a lot of quality. We are having some supply problems
233;9;High quality products and excellent service
234;8;good products and good service
235;9;"quick sales response
 good logistics
 the new order tracking system helps to organize our logistics"
236;8;BASF is a company with high production standards and its products are well positioned in the market due to their excellent quality.
237;8;"Basf is a supplier that conveys trust through its products and the people who work in the company.
 As a customer we feel supported.
 It could be a 10 because we believe that there is always room for improvement. In this pandemic it has been difficult to visualize and plan with price changes and arrival times. Perhaps here there may be some opportunity to improve by generating visibility in the longer term."
238;9;I recommend it with a score of 10 because all its products are of very good quality
239;8;the reason is the quality of the products and the technical advice and attention of the seller
240;8;Quality of customer service and products
241;9;"is the
 Company that for years we have achieved a close bond and synergy, its human resources make and facilitate the business, the management and development of new opportunities"
242;8;Excellent service, quality and price
243;8;For its commercial and technical assistance
244;10;Opportunity in delivery, high quality product, good customer service, timely response.
245;8;Quality of the products
246;10;We give it a 10 for quality, price and attention.
247;10;The quality of the material guarantees the satisfaction of any client.
248;8;good customer service
249;9;Product quality and technical support
250;8;High Quality Products, Support, Guarantee
251;8;Standard manufacturing, research and support throughout the manufacturing line of each product.-
252;10;Professional team, product quality and support
253;10;Our business relationship is based on understanding and pursuit of goals through joint work.
254;10;For quality and support
255;8;For the high quality of the products
256;9;It is a recognized and world-class company, with quality products and solutions for various crops and markets
257;8;Recommended quality products.
258;8;Excellent service and top quality care.
259;10;because they are excellent quality products
260;9;Portfolio quality
261;9;product quality
262;10;because they are very good products
263;10;"product quality
 Order in trade structure"
264;10;"Very tested and tested products in many countries of the world.
 They have good professionals and surround themselves with experienced advisers."
265;10;supplier partnership
266;10;Serious and reliable company.
267;9;sometimes the supply is very bad
268;8;Company with experience and responsible with people and the environment
269;8;good logistics and the attention of the sales coordinator is excellent
270;10;Good service and quality products.
271;9;Extremely honest, safe and competent company in what it proposes.
272;8;We have a great partnership with BASF SA, the team is very committed and engaged in the projects suggested by ADM (sharing of best practices, sustainability, among others). BASF has a high performance of the KPI's established in the contract and great commitment in the quarterly follow-ups. The team led by Alejandro Bossio has a very careful, proactive service and an excellent response time. However, based on the global relationship, BASF Germany's force majeure event brought a lot of disruption and supply risk for ADM in EMEA and NA regions and we do not recognize an effort by the company to seek product in the market to fill the supply gap.
273;10;EXCELLENT QUALITY OF ITS PRODUCTS
274;8;The products are of good quality,
275;10;Quality products, with embedded technology.
276;9;Partnership, commitment, punctuality.
277;8;FOR ITS EXCELLENT PRODUCT QUALITY
278;9;BASF offers us a prepared and agile team to assist us throughout the withdrawal process.
279;9;Great service, but we had problems with a lack of information that arrived at the last minute from BASF regarding supplies that put Aubicon's operation at risk.
280;9;reliability
281;9;We have a long-standing business relationship, where Basf has supported us in our development and innovations in various areas of our company. I do not give it the maximum score because they no longer provide comprehensive solutions for the sale of a line of products to Solenis
282;9;A company with reliable products
283;9;Commitment of your employees
284;9;A solid company with great potential.
285;10;It is a great company, and we have an excellent partnership regarding the delivery of orders, and also on the part of the service.
286;9;good products
287;10;Not well-prepared professionals with an open mind to business development and new ideas.
288;9;very good technicians
289;8;We are served by Trilux here in RS, we have always been very well advised and we have no reason to complain, only praise.
290;9;Great service and great products
291;10;The company would be a partner of quality product and competitive price.
292;10;Price, quality and deliveries on the agreed dates.
293;8;Excellent product and service
294;10;I'm being well taken care of.
295;9;Serious supplier, partner, with a team in front of you always present that keeps us up to date with the market, always looking to meet our needs.
296;9;we always had a good service to our demands
297;9;Reliable supplier for MDI supply
298;9;It has excellent support for solid-liquid separation reagents.
299;8;IT IS A COMPANY THAT HAS VERY GOOD PRODUCTS AND OFFERS SUPPORT TO THE FARMER
300;9;EXCELLENT QUALITY AND SOLUTIONS TO THE NEEDS OF CROPS
301;9;The products are of excellent quality, it is a totally serious company and knows how to understand the needs of customers and users.
302;8;I have not given a 10 rating, because I think they are still in the midst of a transformation process that has not yet reached all regions.
303;10;High-tech products, with differentiation and value for our customers.
304;8;Excellent quality products, extraordinary attention from your work team.
305;8;They are excellent quality products.
306;10;For its trajectory, recognition, quality, portfolio, for its innovation.
307;10;for the attention and punctuality with which they serve us
308;10;They are reliable, have excellent quality products and great commercial and logistical attention.
309;9;The materials are good, the price is not so high based on their effectiveness, customers are married to them, since they recognize the BASF brand
310;8;Reliable products, with good technical support
311;9;Product Effectiveness
312;8;The service is good and cordial, but to obtain a 10, dispatch times should improve and communication between the buyer and Reicolite be more fluid, such as, for example, notifying when there is a shortage, notifying when there is a plant stoppage, notifying when times of delivery have been extended even more, etc.
313;8;For quality products
314;8;Excellent products, personalized attention.
315;9;Quality of the products
316;10;For the quality of its products and BASF's commitment to farmers through its business partners
317;10;Quality and innovative products
318;10;out of stock
319;9;It has very good quality products with the inconvenience of supply problems and an attractive commercial policy.
320;9;FOR ITS DISCOUNT POLICIES
321;10;excellent agricultural solutions,
322;9;yes we would recommend them, however there has been little product availability and prices are high
323;9;It is a company that has a broad portfolio and a clear commercial policy, but development in the field has also ceased and the issue of shortages has increased in the last two seasons.
324;8;Products with excellent performance in the field
325;8;Because they are excellent quality products that solve the phytosanitary problems of crops
326;10;good quality in the product
327;9;Innovative products with quality and research
328;9;The products are of excellent quality and a very responsible company.
329;9;Excellent
330;10;good quality of business with you
331;8;"*r6







 reliable products"
332;9;For the portfolio and compliance
333;8;THE QUALITY AND TRUST THAT THEY REPRESENT
334;8;It is a serious company of worldwide recognition, with good quality products, It reacts to market conditions, they have good attention and good treatment.
335;8;"The recommendation is based on the following aspects:
 Product quality.
 Briefcase.
 Selective market access (not massive)"
336;8;very good products
337;9;For being a reliable company in its production and sales processes, in addition to being close to the team that makes decisions for our sector.
338;9;PRODUCTS OF EXCELLENT QUALITY AND COMPETITIVE PRICE.
339;8;WE HAVE A GOOD CONCEPT OF THE LINE
340;8;Nobody is perfect
341;10;Quality products and care.
342;8;very good products
343;8;good products
344;10;quality of products
345;8;Good product but very high prices
346;9;meet agreed delivery dates
347;10;Good products, good treatment, timely attention,
348;10;Good quality products
349;10;product quality
350;10;PRODUCTS GUARANTEE THEIR EFFECTIVENESS IN THE FIELD.
351;10;Quality portfolio company, profitable businesses, at the forefront and services for the client.
352;9;a fairly responsible company with distributors
353;10;"Biological quality and effectiveness, permanent search for products that respect the ecological environment.
 Compliance with established agreements.
 Profitability in profit Vs Price"
354;9;Very good quality of products, scientific support in their products.
355;9;there are already other brands that offer other options
356;10;good service and well-known products in the middle
357;8;your products are good
358;9;Excellent treatment and first class quality in their products
359;9;Timely attention and response from your business advisors.
360;8;excellent service and their deliveries are on time
361;10;Because it is a supplier that meets our requirements (quality and delivery of our orders)
362;10;very good products
363;8;quality, support, technology
364;9;It has a good portfolio but in insecticides it is limited
365;9;Excellent quality products
366;10;GOOD PRODUCTS
367;8;HIGH QUALITY PRODUCTS AND SOLUTION FOR THE FARMER
368;8;good quality products
369;9;EXCELLENT SERVICE
370;10;They have always been available with a prompt response to any questions or requirements for quotes, documentation, etc.
371;10;Reliable products with guarantees that it is a good laboratory that supports its products with research
372;8;good line of fumgicides
373;10;they have good products
374;9;GOOD PRODUCTS BAD SALES STRATEGY
375;10;Products and commercial conditions are missing
376;9;I would recommend it since the products are of very good quality and its sales representatives provide the necessary attention to satisfy my needs.
377;9;I HAVE HAD PROBLEMS WITH MAKING THE CREDIT NOTES, THEY ARE NOT PRODUCED ON TIME.
378;10;because they are warm products.
379;8;Relationship with BASF is always very professional, from negotiation, progress of open orders and any support needed for follow up. I always have my requests answered with agility and professionalism.
380;10;Peter's customer service is very attentive and willing to help, especially when there is a shortage of products in the market.
381;10;Due to many years partnership
382;10;The company seeks development with the customer and solutions for the business, even in the face of the moment we live, seeks to maintain clear and assertive information regarding delivery times, anticipating possible problems.
383;10;Partner, great service and quality products. In addition to having technically viable possibilities with other technology material grades.
384;9;because it is a reliable company, which conveys in its products not only the certainty of buying a product that works, but also the responsibility to monitor the process and adapt to each use situation.
385;10;Trust in the portfolio
386;9;For service issues.
387;10;strong partnership, excellent service and quality products
388;8;The commercial service provided by the Basf team and not just Daniel Sabadin's NPG line, but Como Acronal and Additives such as Pedro Domingues. are always fantastic. In addition to products with impeccable quality.
389;8;Good reliability and quality of the products we use.
390;9;company with quality products, which show efficiency and effectiveness in their use in cultures.
391;10;"Within the BASF portfolio
 - excellence in quality;
 - eco-friendly products
 - very low level of complaints"
392;9;"Committed leadership and partner
 Team engaged in the day-to-day market
 Confident in planning and strategy for the smooth running of the business"
393;9;Great product company, reliable manufacturing and delivery
394;9;Products that bring security and certainty of results
395;8;People, process, reliability in products and services
396;10;Reliable supplier, keeps shipments with weekly follow-up and we are always aware of delays and other variables that an import process may have.
397;9;Product quality and good service.
398;9;Good service and delivery compliance
399;9;Team, products and technology.
400;8;Quality product! Agility in delivery.
401;10;A very good company in terms of portfolio and service.
402;8;There are products that deliver a good result.
403;9;Reference company
404;8;Quality products
405;9;Excellent service by the representative and quality products
406;9;Globally consolidated company, well-defined values and customer focus.
407;10;Excellent company, can improve in some aspects such as price and portfolio.
408;9;Great product quality, performance in the final product result, and excellent technical support
409;10;brand safety and its products
410;8;SUITABLE COMPANY, WHERE I HAVE CONFIDENCE IN RECOMMENDING.
411;9;Reliability and security.
412;10;excellent supplier
413;9;Excellent service and good product quality
414;8;partnership and great customer service.
415;10;Serious company and products that add value to the business in agriculture! It has highly reliable representatives and distributors.
416;8;Product with good performance in the field
417;8;Serious company with good professionals and a wide variety of products and services.
418;10;BASF is an excellent supplier of great quality PRODUCTS. However, some corporate changes have directly impacted the delivery lead time of these PRODUCTS, causing recurring delays and continuous price increases. The technical support provided is excellent and of great importance within our partnership.
419;9;I don't work directly with the products, but we are always well attended by the people of this company, treating us with seriousness and respect.
420;9;Complete portfolio, qualified team
421;10;Good product, good business contact, complicated logistics and satisfactory negotiation
422;8;product quality
423;9;Quality of supplies supplied
424;9;"Good product
 service: good
 Negotiation: reasonable"
425;8;Great service
426;9;Excellent company, complies with negotiations and delivery deadlines.
427;9;"Great and excellent technical assistance
 Great products always innovating in the market"
428;10;From the customer's point of view, they have always given all the support and help in matters that are out of the ordinary, in addition to being very helpful in the day-to-day with the operation that reflects on us customers.
429;10;These are years of transparency and partnership.
430;8;Excellent product quality and great service.
431;10;Excellent service and order tracking
432;8;Good relationship with supplier
433;10;Would recommend for the quality and efficiency of the product line.
434;9;Excellent product and team. Always willing to help and solve problems
435;8;Quality products
436;10;quality and punctuality
437;10;It is a partner company, which always seeks service within the deadlines. When there is a setback, it brings the necessary information and plans for supply.
438;10;Reputable company, with good products, good service.
439;8;Because we are very satisfied with the result of the products in the field and for the respect and partnership that BASF has with our company.
440;10;product quality
441;8;Service, quality, price, assistance and variety.
442;10;excellent company
443;8;Whenever we needed, we had the necessary attention.
444;9;For your excellent products.
445;8;Fast turnaround, completed delivery dates and volumes, flexibility to change schedule.
446;10;Great service, meeting deadlines and communication.
447;9;Meet deadlines and easy access to people.
448;8;Considering the technical answer they fully meet our demands.
449;8;Reliability, Knowledge and Partnership
450;9;service, fulfills what it agrees, trust.
451;10;Quality seeds, fast delivery, good trading conditions.
452;8;I have been in contact with BASF since my time at Solvay. In addition, I have been working in the pulp and paper segment for a long time and I was a BASF customer at Bahia Sul Celulose SA, Aracruz Celulose SA and also at Klabin SA. I have always had good technical relationships and how well I was treated. BASF for me is a reference in chemistry and technological innovation.
453;8;"Positive:
 Quality of material assured.
 Company credibility.
 Great technical support.

 To improve:
 Higher price than some market competitors.
 High import time.
 Bureaucracy to make some simple changes, such as purchase mode (Local x direct import)."
454;9;Quality, portfolio
455;8;Good level of service and robust technical support.
456;8;Provider with quality products and customer service
457;8;Excellent service, attention and reaction.
458;10;Excellent products and good customer service. They can improve in price competitiveness.
459;10;YOU ARE HIGHLY RECOMMENDED
460;8;They are specialists in Chemicals, they have a good reputation, however due to the current reality of the hydrocarbon business we fall short in product costs and to seek benefits for the client we have to look for cheaper solutions.
461;8;It has excellent products, technology, equipment and training options, however there is room for improvement in terms of negotiation, consolidation options and delivery times.
462;10;In general BASF has been a good supplier. In periods of problems it has been very slow to warn and prevent
463;9;EXCELLENT SERVICE AND VERY GOOD ATTENTION BY THE COMMERCIAL ADVISOR IN CHARGE OF MY PURCHASES.
464;9;Quality of your products
465;10;It is a leading company in the market, with innovative products.
466;9;Our reasons for this score is from the attention of the advisor to the dispatch of the product, they do it in an excellent way, and in any case of help or clarification of any point, we always have the great collaboration of their work team.
467;9;Product quality, technical support, sales support from Basf staff
468;10;"They are excellent quality products.
 The service for us marketers and strategic allies could be better to compete and be their support in cases of product supply to their customers and not let the competition take them away. I understand that by policies they must reach the end customer but I also understand that by working as a team we can better serve the customer and above all guarantee product in difficult times."
469;8;Quality products that solve problems in agriculture
470;9;PRODUCT QUALITY AND RELIABILITY IN YOUR OFFER
471;10;Very good customer service and after sales service.
472;9;Great service provided together with the portfolio.
473;10;BASF presents itself as a company that is at the same time conservative, concerned with the quality of the products and services it offers. In addition to recognizing long-term partners. This is really cool.
474;9;Innovative company focused on business.
475;8;has a diversity of products, meeting most of the producer's needs
476;8;"Fast and efficient service.
 Team always willing to clarify doubts and improvements."
477;9;Service provision, product quality, commercial service
478;9;Always stick to what was agreed
479;9;"I love BASF raw materials and always use them in my formulations!
 I would also point out why whenever I need large amounts of free samples to test on the bench, they have always been super understanding in this part and willing to help."
480;9;RELIABLE COMPANY, GOOD SERVICE. IN LINE WITH WHAT WE THINK OF OFFERING ITEMS WITH A MORE SUSTAINABLE 'FOOTPRINT'
481;9;Fast and efficient service. all very attentive
482;10;"Solid, innovative company.
 Should be more open to customers' wishes and observations"
483;10;Basf is a company recognized for efficient and quality products, with a tradition in the agricultural market.
484;10;Basf provides ongoing support and solutions. The relationship with customers is open and transparent, always available and responding to requests, both technically and commercially.
485;8;The basf products are of great efficiency and quality
486;9;Quality product and great performance.
487;10;Quality products, wide variety and sellers take care of customers.
488;9;Excellent portfolio and professional team.
489;8;High quality and performance and good support service.
490;10;Efficient products and good service.
491;10;BASF has in its portfolio excellent solutions for the planet's food chain
492;8;We at Ginger are very happy with BASF's supply. We have excellent commercial service and we agree with the delivery and price policy. Serious company that respects ESG metrics.
493;9;I was always very well attended by Bruna and all the doubts I had were promptly resolved.
494;8;Good commercial service, but lack of product
495;9;commercial and logistical service well aligned with my company
496;9;Serious company, quality product portfolio
497;8;"Very reliable products, efficiently and safely.
 Very strong brand in the market.
 Excellent portfolio for different cultures."
498;9;Good customer service
499;10;FOR THE QUALITY OF THE PRODUCTS
500;8;quality
501;10;Company maintains responsibility to products, customers and employees.
502;8;To receive a 10, in my opinion, BASF would need to reduce the distance between the Board of Directors and the distribution channels. Increasing interactions between parties. Another point would be to reduce the number of rules for contemplating Rebate.
503;9;Good Flocculant product, good technical support and support for the operation is also provided.
504;10;Seriousness, quality, competence
505;10;Basf is our flag, our flagship.
506;10;Products of high technological quality providing a satisfactory result for producers.
507;10;Products with high efficiency.
508;9;Attending to the fundamental needs of the customer and co-responsibility for the performance of materials, in achieving final results.
509;10;Great company at a global level, with great seriousness, responsibility and innovation.
510;10;Excellent quality products and with several records for cultures
511;10;Products with high efficiency and quality
512;8;Service and product quality
513;10;"Company with a lot of history
 High quality in products
 best portfolio
 Strategic vision company
 Program and project company
 Initiative & Finishing Company
 Excellent technical department
 Best rebate among companies in the industry"
514;9;for having quality in the products.
515;10;products and solutions that are bringing us results as recommended
516;10;Excellent product but very impartial in negotiation processes
517;8;"Excellent technical and commercial service.
 I always get quick and accurate answers.
 Great support!"
518;9;Excellent commercial service, quality products and service flexibility prioritizing the partnership - customer x supplier
519;10;The Supplier seeks to meet the customer's needs
520;8;"As a 156-year-old company, the BASF brand is synonymous with quality and safety in the products it supplies.
 In addition, we have an excellent relationship with the professionals who serve us, and this for us is very important in the partnership we have with BASF."
521;8;Reliable company with high quality products and excellent results, quality technical support.
522;10;Excellent quality products and service!
523;9;Company with Credibility!!!
524;8;"Quality products that provide excellent results in the final products.
 Seeks to maintain a constant partnership in technical developments."
525;9;"Business transparency
 Greater fluidity of communication"
526;10;Quality products, innovative, safe.
